"";"RNGvector";"result.coleff"
"10_Anisomycin.1";0,212596589327328;-0,0065634934395889
"10_Anisomycin.2";0,121407816357156;0
"10_Anisomycin.3";0,24278917484026;0
"10_Cycloheximide.1";0,151373754249925;0,0296955782435502
"10_Cycloheximide.2";0,188632014694257;-0,0118643443229598
"10_Cycloheximide.3";0,177684035993168;0
"10_DMSO.1";0,120930234209424;0,00908515441054303
"10_DMSO.2";0,0931278906206919;0
"10_DMSO.3";0,190921204061024;-0,0264802829612294
"10_DMSO.4";0,103803744420991;-0,0254707583761122
"10_DMSO.5";0,14546664061061;0,0217275286499807
"10_Doxorubicin.1";0,103495933673245;-0,0305115527689097
"10_Doxorubicin.2";0,131001213643816;0
"10_Doxorubicin.3";0,217906539654994;0,065239270215573
"10_GephyronicAcidA.1";0,122321565373027;-0,00438425775897699
"10_GephyronicAcidA.2";0,083402033442282;0
"10_GephyronicAcidA.3";0,122578575859178;0,00809892330032491
"10_Myriaporone.1";0,229728515289222;0,0644417966841138
"10_Myriaporone.2";0,119407731155321;0
"10_Myriaporone.3";0,109278697214075;-0,0230151681985681
"10_Nocodazole.1";0,0492939543273264;0
"10_Nocodazole.2";0,189020992869598;-0,0200336970352414
"10_Nocodazole.3";0,300864246605912;0,153375875474018
"10_OkadaicAcid.1";0,226708637245517;-0,0842018119234839
"10_OkadaicAcid.2";0,0744426578720357;0
"10_OkadaicAcid.3";0,143270156155557;0,0383988040397403
"10_Podophyllotoxin.1";0,150618943530856;0
"10_Podophyllotoxin.2";0,230798578268691;-0,045062347176642
"10_Podophyllotoxin.3";0,18035998430857;0
"10_Puromycin.1";0,157790905748994;-0,0169785722452877
"10_Puromycin.2";0,268652255168617;0,0134820786367111
"10_Puromycin.3";0,209558142627805;0
"10_Rapamycin.1";0,157721515340929;0
"10_Rapamycin.2";0,161556459235377;-0,0384073098709212
"10_Rapamycin.3";0,170911899823622;0,00806407065896719
"10_SB203580.1";0,203274194316227;-0,01787143706912
"10_SB203580.2";0,0545231833853996;0
"10_SB203580.3";0,166017436997156;0,0128701866937581
"10_Vioprolide.1";0,190463973123894;-0,0164709936720332
"10_Vioprolide.2";0,195952362045851;0
"10_Vioprolide.3";0,219052992911638;0,00660814400963805
