"";"RNGvector";"result.coleff"
"5_ActinomycinD.1";0,0718882337356926;-0,0345074957988226
"5_ActinomycinD.2";0,113465853206074;0,0362065298392707
"5_ActinomycinD.3";0,0836358099153753;0,0255853384615992
"5_ActinomycinD.4";0,133411026330831;-0,0256484588659146
"5_Chelerythrine.1";0,0350056179263836;-0,0127450186176864
"5_Chelerythrine.2";0,172060517479241;-0,0267929391413545
"5_Chelerythrine.3";0,0362400114088437;0,0127628111161439
"5_Chelerythrine.4";0,0358337459252846;0,0413284446325217
"5_CytochalasinD.1";0,27883152285058;-0,168976554281851
"5_CytochalasinD.2";0,148779297188024;-0,0282162131393388
"5_CytochalasinD.3";0,401430686579702;0,0303920011310425
"5_CytochalasinD.4";0,19848786777881;0,0680512808447683
"5_DMSO_B9";0,133781860239723;0,0620061706589817
"5_DMSO_C6";0,0905352865498725;0,0323333074440235
"5_DMSO_D3";0,219077150410995;-0,0994265005607193
"5_DMSO_F6";0,108028498442395;-0,0330861141009661
"5_EpothiloneB.1";0,0663953472953981;0,0063432440172667
"5_EpothiloneB.2";0,149559045845248;-0,0264228971938874
"5_EpothiloneB.3";0,201358600013415;0,0732101692427028
"5_EpothiloneB.4";0,192106347344884;-0,00663436773420419
"5_LY294002.1";0,229858438996112;-0,0180237356448103
"5_LY294002.2";0,244317627785164;-0,0749702810285457
"5_LY294002.3";0,206719842223883;0,0551886443234422
"5_LY294002.4";0,414561366128309;0,0181050465501456
"5_Rapamycin.1";0,112716528701252;-0,025190351613125
"5_Rapamycin.2";0,14929499556136;-0,0192563258608442
"5_Rapamycin.3";0,0879603546841532;0,0190696669256835
"5_Rapamycin.4";0,171056085660817;0,0684851114476458
"5_SB202190.1";0,0886750143915846;-0,00156649943162191
"5_SB202190.2";0,194265286035278;0,0578129895407088
"5_SB202190.3";0,190027101559341;-0,00263554251942998
"5_SB202190.4";0,17622784444882;0,00148326530579099
"5_SB203580.1";0,172097770226374;0,034584702235701
"5_SB203580.2";0,194558477625648;0,00567972709550328
"5_SB203580.3";0,108449866655381;-0,00985584238088991
"5_SB203580.4";0,0840210789399026;-0,00565529895894817
"5_Scriptaid.1";0,207376884131531;0,00387111634383679
"5_Scriptaid.2";0,184707265256178;0,00104290642688631
"5_Scriptaid.3";0,191074466033558;-0,00641845154079641
"5_Scriptaid.4";0,131898196145805;-0,0017273370252936
"5_Soraphen.1";0,112279360816128;-0,0372737735059419
"5_Soraphen.2";0,0842969909140037;-0,00414916615172228
"5_Soraphen.3";0,10616102840911;0,00396863100491729
"5_Soraphen.4";0,10947613102307;0,0613882777433066
