"";"RNGvector";"result.coleff"
"11_Alsterpaullone.1";0,303893830931805;-0,0532153634872756
"11_Alsterpaullone.2";0,534937847297171;0,343028053587047
"11_Alsterpaullone.3";0,207045478507521;-0,109037525875904
"11_Alsterpaullone.4";0,346250985971005;0,053155700018947
"11_Anisomycin.1";0,315361879453136;0,179223658229788
"11_Anisomycin.2";0,282307792304297;0,033864753501134
"11_Anisomycin.3";0,233097113200758;-0,0487721017379324
"11_Anisomycin.4";0,389696880816738;-0,0352895024687902
"11_Doxorubicin.1";0,136272463158338;0,055920679717497
"11_Doxorubicin.2";0,156087763219232;-0,0712885952046018
"11_Doxorubicin.3";0,199149355023251;-0,0558216800364295
"11_Doxorubicin.4";0,176318458987572;0,0975227303031396
"11_Griseofulvin.1";0,0841824829544935;-0,00333590100246507
"11_Griseofulvin.2";0,13060358501022;-0,00316563434798137
"11_Griseofulvin.3";0,174468801303284;0,00327817769448543
"11_Griseofulvin.4";0,21219569156576;0,0721761627045689
"11_LY294002.1";0,278317895690785;0,128912317239521
"11_LY294002.2";0,334836555359317;0,0321936228425553
"11_LY294002.3";0,199614533949585;-0,0337399338351152
"11_LY294002.4";0,354475125523672;-0,0850504548435288
"11_OkadaicAcid.1";0,157309511601377;0,00687971216488152
"11_OkadaicAcid.2";0,246065479606666;-0,00955802753744883
"11_OkadaicAcid.3";0,219357037362604;-0,0187231402177705
"11_OkadaicAcid.4";0,302429050609403;0,101783325446606
"11_PD169316.1";0,148176098903298;0,0942848050651377
"11_PD169316.2";0,285954187694209;-0,250988880287449
"11_PD169316.3";0,261122156990301;-0,09260126399816
"11_PD169316.4";0,220311307028117;0,127411707379105
"11_Podophyllotoxin.1";0,135092607792354;-0,0162907084124616
"11_Podophyllotoxin.2";0,16917513059053;0,00469775215933593
"11_Podophyllotoxin.3";0,256485638109149;-0,00469775215933593
"11_Podophyllotoxin.4";0,932881906834298;0,2514987131179
"11_RatjadonC.1";0,21509118392176;0,00401193896501562
"11_RatjadonC.2";0,168120423729469;-0,00371863172906001
"11_RatjadonC.3";0,371851357978242;-0,11554496584078
"11_RatjadonC.4";0,181187823861125;0,0947932349709881
"11_Simvastatin.1";0,0994857466817988;-0,00806843712051639
"11_Simvastatin.2";0,0994857466817988;0,00841601329149871
"11_Simvastatin.3";0,260076342329633;-0,104739996743927
"11_Simvastatin.4";0,507088204293535;0,237867437931101
"11_Velcade.1";0,456337208875978;0,0444684028385136
"11_Velcade.2";0,237827890022523;-0,000303257483341944
"11_Velcade.3";0,57130472797811;-0,0453028865526393
"11_Velcade.4";0,304932104869873;-0,00179335430715738
"11_DMSO.1";0,236234348197894;-0,0925560870114793
"11_DMSO.2";0,191652400504054;0,0896610347006335
"11_DMSO.3";0,274857819323596;-0,0532764570650557
"11_DMSO.4";0,217227206418959;0,0526643328994847
